Date,Close*
1-Jan-19,133.01
1-Jan-18,181.42
1-Jan-17,174.89
1-Jan-16,134.39
1-Jan-15,199.08
1-Jan-14,133.3
1-Jan-13,115.38
1-Jan-12,54.32
1-Jan-11,85.5
1-Jan-10,75.18
1-Jan-09,33.43
1-Jan-08,85.29
1-Jan-07,91.43
1-Jan-06,80.68
1-Jan-05,68.26
1-Jan-04,75.95
1-Jan-03,51.97
1-Jan-02,72.7
1-Jan-01,52.49
